Transaction_ID,User_ID,Amount,Transaction_Type,Location,Fraudulent,Year,Month,Day,Hour,Minute,Second,Day_of_Week,Is_Weekend
7bbc16f7-d81d-4dd8-92f6-18c50e73cc50,5178,1880.96,ATM Withdrawal,Port Garrett,0,1979,2,22,16,31,23,3,0
d180a7ef-c1b7-4769-a910-cd84258cec8b,6950,2492.06,ATM Withdrawal,South Kathy,0,1971,7,8,19,58,8,3,0
4d85594a-01e4-418a-9740-753893af237c,3955,564.87,Bill Payment,Floresmouth,1,2004,6,30,18,30,4,2,0
ca8558dd-eb27-4f09-a674-4746942e0e71,5930,3523.44,ATM Withdrawal,Banksstad,0,1987,5,13,5,8,16,2,0
2b0442f3-254f-4cd8-a9f9-8f859d763501,7560,3247.72,Online Purchase,Alexborough,0,1974,9,3,18,15,16,1,0
b989605b-6f67-4894-abc8-15d1d07e218c,1351,4105.06,Bill Payment,East Tanyachester,0,2019,8,25,20,56,38,6,1
841acf21-1066-4f25-94de-57c68910d1f9,7012,4678.93,Online Purchase,West Tiffanyport,0,2010,3,3,1,58,57,2,0
b9479a53-762e-4b75-9461-51da7e6277a3,5708,4675.06,Online Purchase,Romerofort,0,2011,7,20,1,37,46,2,0
1561d570-b158-4847-a921-ef2b883b5e31,3359,4476.17,Online Purchase,East Michael,0,2021,4,15,7,25,58,3,0
0ceb7b69-e8e2-449f-8c0c-35a885e509cd,6301,1909.55,ATM Withdrawal,Hawkinsland,0,1973,1,21,10,29,42,6,1
7d79f6a0-0bd2-4ef6-aad7-e4aa90fc78c0,3751,1462.28,ATM Withdrawal,New Kevin,1,1973,11,24,5,33,2,5,1
ab9eb699-2134-4948-bf90-57863f0c8ca6,6992,354.9,Online Purchase,North John,0,2011,6,2,12,2,26,3,0
4126e1e9-2c1e-4553-9f12-5cc9907d1446,8516,578.57,Online Purchase,Port Ashley,1,2018,11,26,14,5,43,0,0
0bf3afbe-6ecf-4052-9454-b91e516b1b77,8290,210.09,ATM Withdrawal,New Lori,0,1983,8,6,19,3,1,5,1
5120b58d-6385-48a4-bd60-46ebd4041f61,4266,2239.62,Bank Transfer,West Davidborough,1,2013,9,26,9,37,14,3,0
eb68d2cc-e112-49e2-b989-d201c0e474a4,1200,549.57,Bill Payment,North Saramouth,1,2004,3,30,17,39,5,1,0
a287c723-0b06-46e9-a9cc-ee8711fc8fd7,5530,1217.75,Bank Transfer,Paulville,0,2006,1,15,0,20,5,6,1
5c242147-0261-486f-b1b1-98c7241ff06f,6357,2761.03,Online Purchase,Townsendburgh,1,2001,1,20,12,37,46,5,1
2695a7f8-9a50-45d7-8b37-fb58bdd3a8e4,3408,4056.75,Bill Payment,East Lauraberg,0,1992,4,3,11,49,21,4,0
0e1574dc-283d-4bb3-81e1-c1ef3803c4b5,3077,4934.03,Bill Payment,Lake Daryl,1,2002,11,7,5,1,44,3,0
0e041efe-1df1-444c-8674-b5b0b2e4c63e,5534,4367.99,Bank Transfer,Mariachester,0,1991,10,18,2,29,49,4,0
b1a66ce6-d1f7-448a-924d-124eb8ae787a,7656,4076.13,Bill Payment,Port Janet,0,1995,5,3,14,50,53,2,0
016d1539-68a0-4118-a18e-26eb6e48db4b,4937,573.58,Bank Transfer,Joshuatown,1,1986,1,6,12,7,48,0,0
efabdf6f-e893-4331-a05d-831d786677f0,2923,1295.7,Bill Payment,Ericville,0,2013,6,21,15,36,39,4,0
3607afad-b9af-4506-9a21-e67d0cea87d0,1895,749.63,ATM Withdrawal,West James,0,2006,10,2,23,18,17,0,0
06521f4b-c80a-4142-a7c1-3238d0692dd2,7368,1807.25,Online Purchase,West Darius,1,1991,3,26,8,34,49,1,0
3e2ba0b0-1ad6-4c61-b3be-c3fcaac94eed,6721,2285.34,Online Purchase,Port Jenniferville,1,1982,5,25,0,31,41,1,0
bed2e80b-24e6-4b35-b452-44727e7a4021,2974,4250.61,Online Purchase,West Raymond,1,1970,3,31,4,29,14,1,0
2a22a040-71b5-4046-98ae-25bda2a03c04,5810,1511.25,ATM Withdrawal,North Mark,1,1997,1,19,11,52,45,6,1
58548324-1d9f-4ca7-a377-0570227a63eb,2157,1121.28,ATM Withdrawal,New Juan,0,1981,12,9,20,34,10,2,0
0e4748c4-b1ba-4529-a773-962b53012873,2007,4380.47,ATM Withdrawal,Lewisport,1,1977,12,20,0,59,6,1,0
14ca3a4c-1917-4ac8-9db6-c52786c07376,1464,4182.12,ATM Withdrawal,Elizabethberg,1,1999,12,10,4,50,17,4,0
40c0e245-d6db-43e5-a604-ea6adc8e5a9f,8082,1462.01,Online Purchase,New Brandon,1,1977,1,8,5,7,18,5,1
b61c80e5-2025-4533-805c-aecb1df1ccdb,1979,209.76,Bank Transfer,Bellfurt,0,2015,2,9,15,17,50,0,0
377652be-4b44-4100-a23d-ad4d114f0af5,1386,2175.67,Bill Payment,West Lindabury,1,1971,10,27,12,36,41,2,0
7016307f-0632-482c-ab11-adf6828624ce,2352,3327.38,ATM Withdrawal,West Nancychester,0,1974,4,30,20,27,40,1,0
aae69934-f6f2-486a-9874-283ba11d927c,1984,837.46,Bank Transfer,East Davidland,0,1975,8,13,21,30,20,2,0
f15a4ff2-ea07-407c-9dd9-886f33f7e83a,6504,505.46,ATM Withdrawal,New Mark,1,2009,8,25,10,37,20,1,0
977205fa-df60-4716-8569-ec3ba8decf6a,5495,2229.07,Bank Transfer,Collinsfort,0,1998,3,12,20,8,58,3,0
a96a9207-94d4-4eb1-8934-52ae2b2f3c73,1275,2037.37,Bill Payment,Port Williamtown,0,1998,3,28,13,24,6,5,1
3d04661b-65e3-4a11-b5dc-4b88a25c1575,8324,2979.34,ATM Withdrawal,Grossland,1,1996,2,16,23,40,31,4,0
74d31863-8697-4ec7-8506-4d7a5381e62c,6435,4261.39,ATM Withdrawal,Amandamouth,1,1997,10,22,15,33,19,2,0
65ed4d6f-2b8a-4003-82b5-8b508c36d777,8054,3513.59,Bill Payment,Clarkchester,1,1976,12,23,0,45,3,3,0
dbdefdbb-62ed-4cc4-96e3-fae436ad2655,3565,1558.23,Bank Transfer,South Veronicafort,1,2011,3,27,4,9,31,6,1
fdb4e78e-6ffa-4f49-941a-7f779660a6f7,4943,1835.26,Bill Payment,Hineston,0,2021,5,9,19,7,54,6,1
09e6e7f8-5dfa-4f75-b878-323b3831217c,6678,4322.15,Bill Payment,South Frank,1,1974,5,30,7,28,2,3,0
fd6b574f-8061-430f-b273-8ec38f00c7eb,2867,1264.65,ATM Withdrawal,East Erikfort,1,2010,5,9,1,54,39,6,1
bcd11838-b878-4b0b-9c76-663d0aaf2847,5560,3839.16,Online Purchase,New Robert,0,1988,5,20,15,21,27,4,0
06480150-8de8-4a1c-b93a-5cddb0613da8,5507,1387.42,Online Purchase,Scottville,0,2005,7,7,12,12,15,3,0
d32a6037-99c5-496b-afe1-39895ee7a60d,2293,4268.38,Bank Transfer,West Williamchester,0,1996,9,4,14,0,55,2,0
cc90c321-b6b8-45ba-ac06-24538f97f9d5,3947,3343.09,Bank Transfer,South Jesse,1,2019,2,23,16,35,10,5,1
57a195f1-8d14-4e76-9b9e-41f0cb19b6df,9798,2876.38,Bank Transfer,Graceburgh,1,1990,5,29,5,10,49,1,0
c4dcec14-bdee-43c9-a449-4f3172ad9dde,3887,2157.33,Online Purchase,Davenportburgh,0,2008,7,6,6,12,6,6,1
5816b282-4bb8-4ccf-b170-cc95652a0930,9714,2169.39,ATM Withdrawal,South Maureen,1,1992,4,19,13,27,7,6,1
1ad81645-f313-4e04-ae1e-0929d82088bb,3111,4186.61,Bank Transfer,East Donaldstad,1,1994,2,26,19,30,1,5,1
f6359a66-6f3f-4868-a47f-c7ebb2b16ea9,7543,3231.83,Bank Transfer,East Patricia,1,2018,5,28,5,47,1,0,0
335a403e-def0-4849-9388-8ea80f106591,2613,2621.97,ATM Withdrawal,North Andrew,0,2013,7,5,11,24,1,4,0
4f2918f8-f7cf-4575-8416-ad87a83dd9ea,7174,1601.56,ATM Withdrawal,Lindamouth,1,2001,11,24,8,47,57,5,1
a53f053e-9dd7-4e68-9339-00bac2b00583,2045,2711.21,Online Purchase,Michaelburgh,1,2021,10,22,0,59,3,4,0
2ab239e8-c48c-420f-a656-d5997b07d208,2029,4893.62,Bill Payment,Hansenland,0,2010,10,13,16,40,56,2,0
b882fe4f-891b-4bc1-bf4d-372c9fc086d7,7849,2668.17,ATM Withdrawal,Julianmouth,0,1987,9,16,20,32,13,2,0
b3adae7d-eb19-4860-b76c-67eaa7ef96b2,4007,4244.71,Online Purchase,Amberton,1,2023,9,16,2,37,19,5,1
4ea552d5-647d-42a0-b815-1150b45138a4,7987,2167.69,ATM Withdrawal,Trevinoberg,0,2014,12,18,14,0,50,3,0
df06459d-18d0-4677-b475-8a960f6c078c,2817,257.67,Bill Payment,East Kristimouth,0,1991,6,9,2,25,24,6,1
299885f0-6aa1-4678-88a8-443502ccdb6a,6346,1864.77,Online Purchase,New Mary,1,2006,5,6,1,0,50,5,1
f3c50b3b-c91c-431f-9776-9ecc5d3e4d2a,9287,2442.75,Bill Payment,Lake Nicholas,1,1970,4,14,9,14,51,1,0
199b25f3-af1e-4d31-a274-4b1db9a29f52,2628,1037.17,Bill Payment,Scotttown,1,2018,6,4,12,39,48,0,0
420d0bf6-2006-4b6f-9c9b-69e3e60dd2b5,4510,1705.43,Bill Payment,West William,1,2022,1,30,12,32,1,6,1
aed4064f-7ce1-4ba6-8ac7-61d8e03a1cdb,8407,1777.59,Bill Payment,Phillipsmouth,0,1982,1,9,7,36,50,5,1
